no_of_dependents,education_encoded,self_employed_encoded,income_annum,loan_amount,loan_term,cibil_score_encoded,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_status_encoded
2,1,0,9600000,29900000,12,4,2400000,17600000,22700000,8000000,1
0,0,1,4100000,12200000,8,1,2700000,2200000,8800000,3300000,0
3,1,0,9100000,29700000,20,1,7100000,4500000,33300000,12800000,0
3,1,0,8200000,30700000,8,1,18200000,3300000,23300000,7900000,0
5,0,1,9800000,24200000,20,1,12400000,8200000,29400000,5000000,0
0,1,1,4800000,13500000,10,1,6800000,8300000,13700000,5100000,0
5,1,0,8700000,33000000,4,3,22500000,14800000,29200000,4300000,1
2,1,1,5700000,15000000,20,1,13200000,5700000,11800000,6000000,0
0,1,1,800000,2200000,20,4,1300000,800000,2800000,600000,1
5,0,0,1100000,4300000,10,1,3200000,1400000,3300000,1600000,0
4,1,1,2900000,11200000,2,1,8100000,4700000,9500000,3100000,1
2,0,1,6700000,22700000,18,1,15300000,5800000,20400000,6400000,0
3,0,1,5000000,11600000,16,1,6400000,9600000,14600000,4300000,0
2,1,1,9100000,31500000,14,3,10800000,16600000,20900000,5000000,1
1,0,0,1900000,7400000,6,1,1900000,1200000,5900000,1900000,0
5,0,0,4700000,10700000,10,4,5700000,3900000,16400000,4400000,1
2,1,1,500000,1600000,4,3,1300000,100000,1300000,700000,1
4,0,1,2900000,9400000,14,4,2900000,2800000,6700000,4300000,1
2,1,0,2700000,10300000,10,3,1000000,0,6200000,3300000,1
5,1,0,6300000,14600000,12,3,10300000,3500000,23500000,5900000,1
2,1,0,5000000,19400000,12,1,9500000,1600000,18000000,6100000,0
4,1,0,5800000,14000000,16,1,3800000,11300000,22200000,5400000,0
4,1,1,6500000,25700000,18,1,13100000,1700000,19500000,8500000,0
0,0,1,500000,1400000,2,2,900000,600000,1100000,300000,1
0,0,0,4900000,9800000,16,1,3800000,8700000,10000000,3300000,0
5,0,0,3100000,9500000,20,1,7900000,3100000,6600000,2600000,0
4,1,0,8200000,28100000,12,3,11500000,10600000,25300000,7200000,1
4,0,1,2400000,5600000,4,3,4500000,4200000,5400000,2500000,1
5,0,1,7000000,24000000,6,1,2300000,11900000,27500000,9700000,0
3,0,1,9000000,31500000,10,4,21800000,12400000,33700000,8000000,1
2,0,0,9800000,25300000,12,1,20200000,5200000,25500000,9300000,0
2,1,0,5700000,12000000,6,1,3600000,7400000,21700000,4300000,0
1,0,1,800000,1600000,10,1,700000,200000,2200000,1000000,0
5,0,1,8400000,22000000,2,4,3800000,3900000,19900000,5400000,1
3,1,0,4900000,11900000,8,2,9700000,1200000,19000000,5800000,1
2,1,1,1700000,3400000,8,3,2700000,2800000,6000000,900000,1
3,0,0,1600000,6200000,18,2,3400000,700000,5300000,1400000,1
5,1,1,8000000,27200000,6,1,6400000,300000,16700000,7100000,0
5,1,0,3600000,7700000,16,4,7000000,1300000,10000000,2900000,1
3,0,1,1500000,5100000,6,1,100000,200000,5600000,900000,0
1,1,0,7800000,18100000,2,3,8600000,11200000,21700000,9000000,1
2,0,0,9100000,24900000,16,4,22300000,12100000,31000000,5200000,1
3,1,0,1400000,3400000,6,1,200000,1500000,3900000,800000,0
2,1,1,800000,2300000,12,1,2200000,1300000,1800000,800000,0
5,1,0,6500000,13400000,18,4,18200000,300000,16200000,5400000,1
4,1,0,8000000,27800000,16,1,13000000,6300000,21400000,10900000,0
3,0,1,4200000,14600000,6,3,2400000,6900000,8700000,4900000,1
1,1,1,4900000,19100000,14,3,5400000,9100000,17700000,6500000,1
3,0,0,5500000,20500000,12,2,800000,8600000,18500000,8200000,1
1,0,1,9500000,19100000,16,3,100000,10500000,37700000,11700000,1
4,1,0,7300000,25400000,16,1,500000,1800000,20500000,10500000,0
2,1,0,8700000,24700000,10,1,6800000,3500000,21800000,11300000,0
5,0,0,3800000,7600000,4,3,8700000,100000,9300000,3400000,1
1,0,1,8400000,23000000,12,3,15400000,14800000,31900000,8200000,1
2,1,1,5100000,19700000,20,2,7400000,9300000,19400000,3400000,1
5,0,0,6700000,24500000,12,4,1200000,5600000,16300000,6200000,1
2,0,0,4300000,10600000,18,1,2100000,1500000,9300000,5200000,0
5,1,1,9300000,30500000,18,4,19300000,10300000,34600000,8700000,1
1,1,0,7400000,18400000,20,1,18500000,9100000,17500000,4100000,0
4,0,1,5500000,18200000,16,4,-100000,4900000,18600000,4800000,1
2,0,0,8500000,18900000,18,1,23800000,16300000,25900000,11400000,0
3,0,1,9600000,30500000,18,3,4700000,1900000,26500000,9300000,1
5,0,1,8800000,28900000,6,1,24400000,8600000,27400000,4700000,0
3,0,1,3300000,7500000,20,2,1600000,5600000,10500000,2900000,1
4,1,1,3900000,12300000,18,4,7600000,6900000,13100000,2800000,1
1,1,0,4100000,10300000,12,1,9500000,6100000,14900000,2800000,0
3,0,0,8300000,29100000,10,3,6100000,11900000,24100000,11900000,1
0,0,1,2700000,10100000,20,3,200000,1700000,5900000,1400000,0
4,1,0,5600000,12400000,4,4,5500000,3100000,11800000,5500000,1
0,1,0,1900000,5000000,12,1,4000000,2800000,4900000,2400000,0
4,0,1,500000,1500000,20,1,100000,200000,1900000,600000,0
5,1,1,5300000,18600000,4,1,2700000,9700000,11900000,4200000,1
5,0,0,7000000,18300000,4,1,18400000,11700000,21500000,7600000,0
3,0,1,5800000,16700000,16,3,3900000,9400000,12600000,5600000,1
2,0,0,2600000,8400000,6,1,6500000,3800000,5600000,2000000,0
2,0,0,1900000,6500000,18,3,600000,2500000,4800000,1100000,1
4,1,0,5700000,14800000,16,3,14300000,7800000,12900000,6300000,1
0,1,0,9000000,33500000,8,4,11600000,8900000,35400000,11100000,1
2,0,0,8500000,29400000,12,2,17600000,5600000,25200000,9000000,1
0,0,0,700000,1400000,14,2,1900000,700000,2400000,900000,1
4,1,0,3500000,8900000,4,1,1300000,2200000,12300000,2000000,0
0,0,0,8800000,31200000,4,4,2900000,500000,33300000,8600000,1
2,0,1,9900000,21200000,16,1,25500000,11400000,26600000,6800000,0
3,1,0,3600000,8600000,20,2,9400000,300000,10300000,3300000,1
3,0,1,3000000,8200000,16,3,5300000,5800000,11000000,3400000,1
2,1,0,6800000,21200000,16,1,17100000,4700000,23300000,3600000,0
5,0,1,1100000,3800000,18,1,1300000,1200000,3800000,1600000,0
1,0,1,8700000,28300000,8,1,20400000,13600000,27900000,10200000,0
